site_name,site_latitude,site_longitude
Backbone Beach,42.6015,-91.5359
Beed's Lake,42.77043,-93.23654
Big Creek Lake,41.79395,-93.73185
Black Hawk Lake,42.29637,-95.02906
Brushy Creek Lake,42.38858,-93.97857
Clear Lake,43.12524,-93.41469
Crandall's Beach,43.49146,-95.11791
Denison Beach,42.30139,-95.03608
Emerson Bay Beach,43.35753,-95.17431
George Wyth Lake,42.53497,-92.40055
Green Valley Lake,41.09832,-94.38405
Gull Point Beach,43.37025,-95.15886
Honey Creek Resort Beach,40.86757,-92.92772
Lacey Keosauqua Park Lake,40.7111,-91.96997
Lake Ahquabi,41.29261,-93.59564
Lake Anita,41.42801,-94.78194
Lake Darling,41.2015,-91.90524
Lake Keomah,41.29514,-92.53733
Lake Macbride,41.7935,-91.57311
Lake Manawa,41.20518,-95.85738
Lake Of Three Fires,40.70991,-94.68961
Lake Wapello,40.81961,-92.57458
Lewis and Clark Beah (Blue Lake),42.04416,-96.15928
Lower Pine Lake Beach,42.36935,-93.06973
McIntosh Woods Beach,43.12413,-93.46247
Nine Eagles Lake,40.59674,-93.7723
North Twin Lake,42.47574,-94.63882
Pike's Point Beach,43.41623,-95.16643
Prairie Rose Lake,41.60113,-95.22643
Red Haw Lake,41.00091,-93.272
Rock Creek Lake,41.73963,-92.85499
Springbrook Lake,41.77603,-94.4667
Triboji Beach,43.37351,-95.14804
Union Grove Lake,42.12505,-92.72008
Viking Lake,40.976,-95.02935
